Linux 2.6.32-358.11.1.el6.centos.plus.x86_64 (libon-stress-nosql3) 	10/05/2014 	_x86_64_	(12 CPU)

10/05/2014 11:22:40
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,51         0,00         0,05        336      29020
sda               0,01         0,00         0,00          3        382
dm-0              0,01         0,00         0,00         29         10
dm-1              0,15         0,00         0,00          6        331
dm-2              0,66         0,00         0,00          0       1475
dm-3             12,08         0,00         0,05        154      27047
dm-4              0,00         0,00         0,00          0          0
dm-5              0,01         0,00         0,00        128          9
dm-6              0,07         0,00         0,00         11        145
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:22:50
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               1,30         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,00         0,00         0,00          0          0
dm-2              1,10         0,00         0,00          0          0
dm-3              1,10         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:23:00
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               1,30         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,00         0,00         0,00          0          0
dm-2              0,90         0,00         0,00          0          0
dm-3              0,80         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:23:10
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,20         0,00         0,06          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,20         0,00         0,00          0          0
dm-3             13,60         0,00         0,05          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:23:20
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               3,50         0,00         0,02          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,70         0,00         0,01          0          0
dm-3              2,30         0,00         0,01          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:23:30
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               1,90         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,20         0,00         0,00          0          0
dm-3              0,70         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:23:40
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,30         0,00         0,06          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,10         0,00         0,00          0          0
dm-3             13,00         0,00         0,05          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:23:50
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,90         0,00         0,02          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,80         0,00         0,00          0          0
dm-2              1,00         0,00         0,00          0          0
dm-3              2,50         0,00         0,01          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:24:00
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,50         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,70         0,00         0,01          0          0
dm-3              0,80         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:24:10
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,10         0,00         0,06          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,40         0,00         0,01          0          0
dm-3             12,90         0,00         0,05          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:24:20
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,20         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,00         0,00         0,00          0          0
dm-3              1,10         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:24:30
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,80         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,10         0,00         0,00          0          0
dm-3              1,90         0,00         0,01          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:24:40
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb              11,90         0,00         0,36          0          3
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,50         0,00         0,01          0          0
dm-3             91,20         0,00         0,36          0          3
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:24:50
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,30         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              1,10         0,00         0,00          0          0
dm-2              1,00         0,00         0,00          0          0
dm-3              1,10         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:25:00
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               3,30         0,00         0,02          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,70         0,00         0,01          0          0
dm-3              3,00         0,00         0,01          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:25:10
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               3,60         0,00         0,07          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,60         0,00         0,00          0          0
dm-2              1,10         0,00         0,00          0          0
dm-3             15,40         0,00         0,06          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:25:20
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,30         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              0,90         0,00         0,00          0          0
dm-3              1,50         0,00         0,01          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:25:30
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,30         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,80         0,00         0,00          0          0
dm-2              1,20         0,00         0,00          0          0
dm-3              0,60         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:25:40
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               3,50         0,00         0,06          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,30         0,00         0,01          0          0
dm-3             14,40         0,00         0,06          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:25:50
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               1,90         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,30         0,00         0,01          0          0
dm-3              0,90         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:26:00
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,50         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,80         0,00         0,00          0          0
dm-2              1,20         0,00         0,00          0          0
dm-3              0,90         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:26:10
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,50         0,00         0,06          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,40         0,00         0,01          0          0
dm-3             13,50         0,00         0,05          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:26:20
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,80         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,30         0,00         0,00          0          0
dm-2              0,90         0,00         0,00          0          0
dm-3              2,50         0,00         0,01          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:26:30
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,40         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,40         0,00         0,01          0          0
dm-3              0,60         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 11:26:40
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
