Linux 2.6.32-358.11.1.el6.centos.plus.x86_64 (libon-stress-nosql3) 	10/05/2014 	_x86_64_	(12 CPU)

10/05/2014 12:41:56
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,52         0,00         0,05        336      29270
sda               0,01         0,00         0,00          3        382
dm-0              0,01         0,00         0,00         29         10
dm-1              0,15         0,00         0,00          6        340
dm-2              0,66         0,00         0,00          0       1498
dm-3             12,08         0,00         0,05        154      27264
dm-4              0,00         0,00         0,00          0          0
dm-5              0,01         0,00         0,00        128          9
dm-6              0,07         0,00         0,00         11        146
dm-7              0,00         0,00         0,00          0          0

10/05/2014 12:42:06
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               1,20         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,00         0,00         0,00          0          0
dm-2              0,80         0,00         0,00          0          0
dm-3              1,20         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 12:42:16
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               1,90         0,00         0,06          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,00         0,00         0,00          0          0
dm-2              1,00         0,00         0,00          0          0
dm-3             13,60         0,00         0,05          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 12:42:26
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               3,20         0,00         0,02          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,80         0,00         0,00          0          0
dm-2              1,80         0,00         0,01          0          0
dm-3              1,50         0,00         0,01          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 12:42:36
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb              18,60         0,00         0,84          0          8
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,60         0,00         0,00          0          0
dm-2              1,30         0,00         0,01          0          0
dm-3            212,60         0,00         0,83          0          8
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 12:42:46
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               4,20         0,00         0,03          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              1,10         0,00         0,00          0          0
dm-2              1,00         0,00         0,00          0          0
dm-3              4,10         0,00         0,02          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 12:42:56
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,00         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,80         0,00         0,00          0          0
dm-2              1,30         0,00         0,01          0          0
dm-3              1,00         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 12:43:06
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,40         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,70         0,00         0,00          0          0
dm-2              1,30         0,00         0,01          0          0
dm-3              1,00         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 12:43:16
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               4,20         0,00         0,07          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,70         0,00         0,00          0          0
dm-2              1,60         0,00         0,01          0          0
dm-3             16,10         0,00         0,06          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 12:43:26
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               3,30         0,00         0,02          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              1,00         0,00         0,00          0          0
dm-2              1,30         0,00         0,01          0          0
dm-3              1,80         0,00         0,01          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 12:43:36
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               1,40         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,60         0,00         0,00          0          0
dm-2              0,70         0,00         0,00          0          0
dm-3              0,30         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 12:43:46
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               3,40         0,00         0,06          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              1,40         0,00         0,01          0          0
dm-2              1,30         0,00         0,01          0          0
dm-3             13,00         0,00         0,05          0          0
