Linux 2.6.32-358.11.1.el6.centos.plus.x86_64 (libon-stress-nosql3) 	10/05/2014 	_x86_64_	(12 CPU)

10/05/2014 09:59:16
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,51         0,00         0,05        336      28751
sda               0,01         0,00         0,00          3        382
dm-0              0,01         0,00         0,00         29         10
dm-1              0,15         0,00         0,00          6        325
dm-2              0,65         0,00         0,00          0       1452
dm-3             12,08         0,00         0,05        154      26808
dm-4              0,00         0,00         0,00          0          0
dm-5              0,01         0,00         0,00        128          9
dm-6              0,07         0,00         0,00         11        145
dm-7              0,00         0,00         0,00          0          0

10/05/2014 09:59:26
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               3,30         0,00         0,02          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,30         0,00         0,00          0          0
dm-1              0,00         0,00         0,00          0          0
dm-2              2,00         0,00         0,01          0          0
dm-3              1,90         0,00         0,01          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,50         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 09:59:36
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               1,60         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,00         0,00         0,00          0          0
dm-2              0,70         0,00         0,00          0          0
dm-3              0,60         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,30         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 09:59:46
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               1,90         0,00         0,06          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,00         0,00         0,00          0          0
dm-2              0,40         0,00         0,00          0          0
dm-3             14,10         0,00         0,06          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 09:59:56
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,70         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,10         0,00         0,00          0          0
dm-1              0,00         0,00         0,00          0          0
dm-2              2,50         0,00         0,01          0          0
dm-3              0,70         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,40         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 10:00:06
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,70         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              1,90         0,00         0,01          0          0
dm-2              0,90         0,00         0,00          0          0
dm-3              1,00         0,00         0,00          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 10:00:16
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               1,80         0,00         0,06          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              0,50         0,00         0,00          0          0
dm-3             13,40         0,00         0,05          0          0
dm-4              0,00         0,00         0,00          0          0
dm-5              0,00         0,00         0,00          0          0
dm-6              0,00         0,00         0,00          0          0
dm-7              0,00         0,00         0,00          0          0

10/05/2014 10:00:26
Device:            tps    MB_read/s    MB_wrtn/s    MB_read    MB_wrtn
sdb               2,40         0,00         0,01          0          0
sda               0,00         0,00         0,00          0          0
dm-0              0,00         0,00         0,00          0          0
dm-1              0,40         0,00         0,00          0          0
dm-2              1,70         0,00         0,01          0          0
dm-3              1,20         0,00         0,00          0          0
